given,family,country
Arto,Urtti,finland
Kai,Hakkarainen,finland
Riitta,Hari,finland
Anna,Sivonen,finland
Amos,Pasternack,finland
Otso,Ovaskainen,finland
Mika,Hemmo,finland
Risto,Ilmoniemi,finland
Jyrki,Heino,finland
Veikko,Husa,finland
Kari,Raivio,finland
Olli,Raitakari,finland
Kai,Krötzl,finland
Urpo,Kangas,finland
Hannu,Häkkinen,finland
Heikki,Ruskoaho,finland
Heikki,Halila,finland
Antti,Arjava,finland
Jukka,Pirttilä,finland
Risto,Pellinen,finland
Keijo,Kajantie,finland
Ari,Ivaska,finland
Kristiina,Kruus,finland
Mari,Vaattovaara,finland
Tuomo,Pekkanen,finland
Mika,Kivimäki,finland
Seppo,Meri,finland
Erkki,Kouri,finland
Heikki,Papunen,finland
Auli-Mari,Toom,finland
Petri,Kuoppamäki,finland
Elina,Vuola,finland
Tuija,Pulkkinen,finland
Mervi,Helkkula,finland
Sirkka,Saarinen,finland
Ilpo,Huhtaniemi,finland
Hanna,Snellman,finland
Tauno,Metsänkylä,finland
Pentti,Mälkki,finland
Erkki,Palva,finland
Olli,Saastamoinen,finland
Kauko,Kaste,finland
Auli,Hakulinen,finland
Aarne,Kurppa,finland
Jukka,Mähönen,finland
Jouni,Häkli,finland
Hannele,Yki-Järvinen,finland
George,Bacon,finland
Lea,Laitinen,finland
Niilo,Hallman,finland
Seppo,Siirilä,finland
Olavi,Fält,finland
Matti,Hämäläinen,finland
Pertti,Alasuutari,finland
Riho,Grünthal,finland
Aimo,Hakanen,finland
Markku,Pitkäranta,finland
Anna,Haavio-Mannila,finland
Jouko,Vahtola,finland
Helka,Hartikainen,finland
Kai,Kaila,finland
Hannu,Koskinen,finland
Eero,Kuisma,finland
Kari,Laasonen,finland
Veli-Pekka,Lehtola,finland
Reino,Ylikorkala,finland
Eeva,Varantola,finland
Pentti,Lempiäinen,finland
Yrjö,Kesäniemi,finland
Markku,Lanne,finland
Jussi,Nuorteva,finland
Virpi,Lummaa,finland
Ari,Jokinen,finland
Marja,Makarow,finland
Heikki,Huikuri,finland
Sören,Illman,finland
Matti,Tikkanen,finland
Juha,Siltala,finland
Kimmo,Kahma,finland
Kaisa,Nyberg,finland
Veikko,Sorsa,finland
Lauri,Niinistö,finland
Marjo,Yliperttula,finland
